clientes,modo,hilos,tiempo_s,speedup,eficiencia
1000,sec,1,0.140630,1.000000,1.000000
1000,par,2,0.019426,7.239213,3.619607
1000,par,4,0.022543,6.238372,1.559593
1000,par,8,0.019969,7.042271,0.880284
1000,par,16,0.019341,7.271041,0.454440
2000,sec,1,0.027819,1.000000,1.000000
2000,par,2,0.024428,1.138821,0.569410
2000,par,4,0.023530,1.182256,0.295564
2000,par,8,0.022173,1.254595,0.156824
2000,par,16,0.020073,1.385871,0.086617
4000,sec,1,0.028571,1.000000,1.000000
4000,par,2,0.026919,1.061351,0.530676
4000,par,4,0.025398,1.124917,0.281229
4000,par,8,0.024625,1.160232,0.145029
4000,par,16,0.024836,1.150385,0.071899
8000,sec,1,0.033907,1.000000,1.000000
8000,par,2,0.030712,1.104029,0.552015
8000,par,4,0.027724,1.222998,0.305750
8000,par,8,0.026925,1.259315,0.157414
8000,par,16,0.025814,1.313508,0.082094
1000,sec_puro,1,0.000000,0.000000,0.000000
2000,sec_puro,1,0.006667,4.172815,0.000000
4000,sec_puro,1,0.013333,2.142810,0.000000
8000,sec_puro,1,0.020000,1.695338,0.000000
